,Customer_ID,Name,Gender,Age,City,Signup_Date,Last_Purchase_Date,Purchase_Amount,Feedback_Score,Email,Phone_Number,Country
0,CUST0001,Luke Hanson,Female,28,Chennai,2023-11-11,2026-02-21,11040,1.0,kevinfisher@hotmail.com,316.314.2031,Canada
1,CUST0002,Lisa Costa,Other,38,Pune,2026-04-06,2026-04-18,15142,1.0,davidrobinson@kelly-crawford.net,(600)176-5674x84235,USA
2,CUST0003,Mr. Kevin Gamble,Female,33,Pune,2021-08-26,2026-04-18,24248,3.0,wrong_email.com,+1-322-053-8016x2164,India
3,CUST0004,Jennifer Santos,Female,60,Pune,2025-04-01,2025-12-18,26072,5.0,wrong_email.com,260.082.5758x91945,Canada
4,CUST0005,Andrea Jones,Female,45,Pune,2024-09-08,2025-10-02,24248,5.0,sancheztina@brooks.com,+1-609-632-0152,UK
5,CUST0006,Randall Martin,Female,38,Indore,2022-03-06,2025-08-08,26343,4.0,watsonkyle@hotmail.com,12345,UK
6,CUST0007,Samuel Webster,Male,38,Delhi,2025-08-03,2025-11-16,24248,1.0,smithmichael@gmail.com,(385)871-3226,Canada
7,CUST0008,Gregory Walsh,Female,38,Bhopal,2022-08-13,2025-08-31,24248,3.0,lewisstephanie@benton.com,001-512-613-0648x4886,India
8,CUST0009,Ronald Mullen,Other,38,Mumbai,2022-06-02,2025-07-01,24248,5.0,laurie10@gmail.com,917-650-9689,USA
9,CUST0010,Jessica Tate,Female,38,Bhopal,2023-09-16,2026-04-14,2231,3.0,jwalker@berry.com,241-899-0079x56692,Canada
10,CUST0011,Sean Shelton,Other,38,Mumbai,2024-08-02,2024-06-23,24248,1.0,elizabeth57@gmail.com,906-136-8626,UK
11,CUST0012,Courtney Barnett,Female,29,Mumbai,2024-06-06,2025-03-05,4306,4.0,wjohnson@gmail.com,921-209-8209x223,India
12,CUST0013,Anthony Rosario,Other,18,Chennai,2023-05-15,2025-10-10,8637,3.0,ellisonthomas@gmail.com,(322)458-6132x6223,India
13,CUST0014,Rebecca Rodriguez,Female,54,Indore,2026-03-13,2025-10-10,48839,2.0,mbanks@warner.com,881-181-5660x913,USA
14,CUST0015,Andrea Jones,Female,28,Mumbai,2025-07-04,2025-02-28,24248,4.0,wrong_email.com,487.472.5259,India
15,CUST0016,Carrie Thompson,Other,27,Indore,2023-05-06,2025-01-13,12485,5.0,samantharobinson@christian.com,546-721-9533,Canada
16,CUST0017,James Hatfield Jr.,Female,38,Pune,2022-08-02,2026-04-06,34111,1.0,mistybaker@smith.com,943-766-3014x257,India
17,CUST0018,Alicia Williams,Other,38,Delhi,2023-09-27,2024-07-31,25641,4.0,justin15@yahoo.com,239-015-0306,India
18,CUST0019,Duane Oconnell,Female,38,Indore,2023-09-13,2025-06-24,41419,5.0,uwatson@boyd.net,903-570-3269,Canada
19,CUST0020,Jonathan Monroe,Female,38,Bhopal,2021-06-01,2024-06-06,35910,3.0,shawnchavez@hotmail.com,408.015.9136,Canada
20,CUST0021,Derek Smith,Female,34,Pune,2021-06-22,2025-07-21,24248,4.0,qmartinez@moore.biz,+1-341-084-5300x71188,USA
21,CUST0022,Elizabeth Gallegos,Other,45,Indore,2023-09-03,2025-07-21,24248,1.0,nlewis@simmons.biz,12345,Canada
22,CUST0023,Heather Peterson,Female,42,Pune,2022-06-05,2026-02-19,24248,4.0,hallerin@reid-may.com,923.199.1511x328,Canada
23,CUST0024,Andrea Jones,Male,51,Chennai,2022-10-02,2025-08-22,24248,5.0,katherinemiranda@baker.org,527-642-9833x174,Canada
24,CUST0025,Anna Grant,Other,56,Pune,2026-03-20,2025-05-22,2058,3.0,danielle26@hill.org,(420)341-4584,India
25,CUST0026,Nancy Delgado,Other,36,Indore,2024-06-06,2025-12-29,8443,3.0,deanpeterson@yahoo.com,+1-509-606-9284x90133,Canada
26,CUST0027,Andrea Jones,Other,23,Pune,2022-06-10,2024-06-25,24248,3.0,christopherdeleon@watson.com,074.283.1133,India
27,CUST0028,Manuel Brooks,Other,52,Pune,2024-03-03,2024-05-19,1013,5.0,qmoon@gmail.com,001-066-954-2153x663,USA
28,CUST0029,Richard King,Other,49,Bhopal,2023-07-27,2024-05-17,24248,1.0,mejiarebecca@hotmail.com,802.541.9067,India
29,CUST0030,James Kelley,Female,48,Indore,2021-09-23,2024-08-13,22469,1.0,shawdawn@morrison-lambert.com,781.259.8456x493,Canada
30,CUST0031,James Taylor,Female,58,Indore,2021-11-15,2025-06-23,24248,3.0,denise37@hotmail.com,261-460-5169,Canada
31,CUST0032,Kathy Dominguez,Female,18,Indore,2023-06-17,2024-11-04,9160,1.0,abigail57@hotmail.com,027.218.4923x87291,UK
32,CUST0033,Katrina Taylor,Female,38,Chennai,2022-04-30,2024-10-09,3357,3.0,jenniferhenry@hotmail.com,+1-045-949-0349,Canada
33,CUST0034,Amanda Martinez,Female,26,Mumbai,2026-02-09,2025-10-16,16265,2.0,patrick51@rodriguez-sloan.com,240.104.8753x675,UK
34,CUST0035,Jenna Pittman,Other,57,Delhi,2021-12-18,2025-09-22,46353,1.0,tammymcclure@gmail.com,(646)969-7212x651,Canada
35,CUST0036,Chad Kim,Female,52,Bhopal,2025-08-27,2026-04-14,22051,3.0,wrong_email.com,001-926-613-2783x377,Canada
36,CUST0037,Michelle Rivera MD,Female,38,Indore,2023-02-18,2025-12-09,49961,3.0,blairgeoffrey@hotmail.com,557-276-3912x56636,India
37,CUST0038,Cindy Wright,Male,18,Indore,2021-06-23,2025-06-23,41206,2.0,carlos27@yahoo.com,001-157-549-9646,Canada
38,CUST0039,Sara Wise,Male,40,Indore,2024-05-09,2025-06-24,24248,4.0,susancarlson@hotmail.com,12345,Canada
39,CUST0040,Antonio Anderson,Other,34,Delhi,2025-01-25,2024-06-16,13824,5.0,christopherhunt@cameron.info,(119)519-8809x655,UK
40,CUST0041,Michelle Sawyer,Female,29,Chennai,2026-01-30,2025-08-02,24248,4.0,douglasblanchard@diaz.com,466.905.6097x84416,India
41,CUST0042,Andrea Jones,Female,34,Chennai,2025-04-18,2024-06-14,31858,3.0,bbarnett@yahoo.com,12345,India
42,CUST0043,Terry Werner,Female,56,Pune,2024-01-11,2024-10-31,24248,2.0,vbowman@griffin-lambert.com,12345,India
43,CUST0044,Jessica Medina,Male,29,Chennai,2022-04-25,2025-03-24,7110,4.0,amberavila@perkins.net,666.847.9017x5550,Canada
44,CUST0045,Ashley Garcia,Female,38,Indore,2024-11-14,2025-12-18,9179,1.0,adamsjohn@yahoo.com,(863)535-9280,India
45,CUST0046,Steven Mcdowell,Female,38,Pune,2024-02-18,2026-03-08,4872,1.0,wrong_email.com,242.301.8682x00372,Canada
46,CUST0047,Charles Brewer,Other,55,Pune,2022-01-28,2026-02-10,24248,3.0,jefferymccarthy@yahoo.com,(949)511-4383x516,Canada
47,CUST0048,Mary Arnold,Other,20,Delhi,2024-01-31,2025-08-19,5073,4.0,dsmith@yahoo.com,886-095-7311x27151,India
