Customer_ID,Name,Gender,Age,City,Signup_Date,Last_Purchase_Date,Purchase_Amount,Feedback_Score,Email,Phone_Number,Country
CUST0001,Luke Hanson,,28,Chennai,2023-11-11,2026-02-21,₹11040,1.0,kevinfisher@hotmail.com,316.314.2031,
CUST0002,Lisa Costa,Other,,Pune,2026-04-06,2026-04-18,₹15142,1.0,davidrobinson@kelly-crawford.net,(600)176-5674x84235,USA
CUST0003,Mr. Kevin Gamble,Female,33 yrs,,2021-08-26,2026-04-18,,,wrong_email.com,+1-322-053-8016x2164,India
CUST0004,Jennifer Santos,,60 yrs,,2025-04-01,2025-12-18,26072,5.0,wrong_email.com,260.082.5758x91945,Canada
CUST0005,,,Age is 45 years,,2024-09-08,2025-10-02,,5.0,sancheztina@brooks.com,+1-609-632-0152,UK
CUST0006,Randall Martin,,38 yrs,Indore,2022-03-06,2025-08-08,₹26343,4.0,watsonkyle@hotmail.com,12345,UK
CUST0007,Samuel Webster,Male,,Delhi,2025-08-03,2025-11-16,,1.0,smithmichael@gmail.com,(385)871-3226,Canada
CUST0008,Gregory Walsh,Female,,Bhopal,2022-08-13,2025-08-31,,3.0,lewisstephanie@benton.com,001-512-613-0648x4886,India
CUST0009,Ronald Mullen,Other,,Mumbai,2022-06-02,2025-07-01,,5.0,laurie10@gmail.com,917-650-9689,USA
CUST0010,Jessica Tate,,,Bhopal,2023-09-16,2026-04-14,2231,,jwalker@berry.com,241-899-0079x56692,
CUST0011,Sean Shelton,Other,,Mumbai,2024-08-02,2024-06-23,,1.0,elizabeth57@gmail.com,906-136-8626,UK
CUST0012,Courtney Barnett,Female,Age is 29 years,Mumbai,2024-06-06,2025-03-05,₹4306,4.0,wjohnson@gmail.com,921-209-8209x223,India
CUST0013,Anthony Rosario,Other,18 yrs,Chennai,2023-05-15,2025-10-10,8637,,ellisonthomas@gmail.com,(322)458-6132x6223,India
CUST0014,Rebecca Rodriguez,,Age is 54 years,Indore,2026-03-13,,48839,2.0,mbanks@warner.com,881-181-5660x913,USA
CUST0015,Andrea Jones,Female,28 yrs,Mumbai,2025-07-04,2025-02-28,,4.0,wrong_email.com,487.472.5259,India
CUST0016,Carrie Thompson,Other,27 yrs,Indore,2023-05-06,2025-01-13,12485,5.0,samantharobinson@christian.com,546-721-9533,
CUST0017,James Hatfield Jr.,,,Pune,2022-08-02,2026-04-06,₹34111,1.0,mistybaker@smith.com,943-766-3014x257,India
CUST0018,Alicia Williams,Other,,Delhi,2023-09-27,2024-07-31,₹25641,4.0,justin15@yahoo.com,239-015-0306,India
CUST0019,Duane Oconnell,,,Indore,2023-09-13,2025-06-24,41419,5.0,uwatson@boyd.net,903-570-3269,Canada
CUST0020,Jonathan Monroe,Female,,Bhopal,2021-06-01,2024-06-06,₹35910,,shawnchavez@hotmail.com,408.015.9136,Canada
CUST0021,Derek Smith,Female,34 yrs,Pune,2021-06-22,2025-07-21,,4.0,qmartinez@moore.biz,+1-341-084-5300x71188,USA
CUST0022,Elizabeth Gallegos,Other,45,Indore,2023-09-03,,,1.0,nlewis@simmons.biz,12345,Canada
CUST0023,Heather Peterson,Female,42 yrs,,2022-06-05,2026-02-19,,4.0,hallerin@reid-may.com,923.199.1511x328,Canada
CUST0024,,Male,51 yrs,Chennai,2022-10-02,2025-08-22,,5.0,katherinemiranda@baker.org,527-642-9833x174,Canada
CUST0025,Anna Grant,Other,Age is 56 years,Pune,2026-03-20,2025-05-22,2058,,danielle26@hill.org,(420)341-4584,India
CUST0026,Nancy Delgado,Other,36 yrs,Indore,2024-06-06,2025-12-29,₹8443,3.0,deanpeterson@yahoo.com,+1-509-606-9284x90133,
CUST0027,,Other,Age is 23 years,Pune,2022-06-10,2024-06-25,,,christopherdeleon@watson.com,074.283.1133,India
CUST0028,Manuel Brooks,Other,Age is 52 years,,2024-03-03,2024-05-19,1013,5.0,qmoon@gmail.com,001-066-954-2153x663,USA
CUST0029,Richard King,Other,49 yrs,Bhopal,2023-07-27,2024-05-17,,1.0,mejiarebecca@hotmail.com,802.541.9067,India
CUST0030,James Kelley,Female,Age is 48 years,Indore,2021-09-23,2024-08-13,₹22469,1.0,shawdawn@morrison-lambert.com,781.259.8456x493,
CUST0031,James Taylor,,58 yrs,Indore,2021-11-15,2025-06-23,,,denise37@hotmail.com,261-460-5169,Canada
CUST0032,Kathy Dominguez,Female,18 yrs,Indore,2023-06-17,2024-11-04,9160,1.0,abigail57@hotmail.com,027.218.4923x87291,UK
CUST0033,Katrina Taylor,,38 yrs,Chennai,2022-04-30,2024-10-09,3357,3.0,jenniferhenry@hotmail.com,+1-045-949-0349,Canada
CUST0034,Amanda Martinez,,26,Mumbai,2026-02-09,2025-10-16,16265,2.0,patrick51@rodriguez-sloan.com,240.104.8753x675,UK
CUST0035,Jenna Pittman,Other,57 yrs,Delhi,2021-12-18,2025-09-22,46353,1.0,tammymcclure@gmail.com,(646)969-7212x651,
CUST0036,Chad Kim,Female,Age is 52 years,Bhopal,2025-08-27,2026-04-14,₹22051,,wrong_email.com,001-926-613-2783x377,Canada
CUST0037,Michelle Rivera MD,Female,,Indore,2023-02-18,2025-12-09,49961,,blairgeoffrey@hotmail.com,557-276-3912x56636,India
CUST0038,Cindy Wright,Male,18 yrs,Indore,2021-06-23,2025-06-23,₹41206,2.0,carlos27@yahoo.com,001-157-549-9646,
CUST0039,Sara Wise,Male,40 yrs,Indore,2024-05-09,2025-06-24,,4.0,susancarlson@hotmail.com,12345,
CUST0040,Antonio Anderson,Other,34 yrs,Delhi,2025-01-25,2024-06-16,13824,5.0,christopherhunt@cameron.info,(119)519-8809x655,UK
CUST0041,Michelle Sawyer,,29 yrs,Chennai,2026-01-30,2025-08-02,,4.0,douglasblanchard@diaz.com,466.905.6097x84416,India
CUST0042,,Female,34 yrs,Chennai,2025-04-18,2024-06-14,₹31858,,bbarnett@yahoo.com,12345,India
CUST0043,Terry Werner,,Age is 56 years,,2024-01-11,2024-10-31,,2.0,vbowman@griffin-lambert.com,12345,India
